id,product_id,name,value,price_adjustment,inventory_quantity,sku,created_at
064a7af7-5527-4ed4-95c9-f6d691136ce8,8b635074-268f-466c-949e-aaaf0b143834,Size,M,0.00,9,W-SWT-CS-005-M,2025-10-11 11:53:55.564532+00
06d05301-b140-4c9d-8315-e6404808d028,4f37e0ee-e916-47ea-affc-4d01665bb2db,Size,S,0.00,4,M-BLZ-NV-016-S,2025-10-11 11:54:12.146731+00
06edf346-e745-49e4-9c0d-3dec77254071,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,Size,S,0.00,9,W-DNM-HR-003-S,2025-10-11 11:53:52.492196+00
07733751-386b-4d24-877c-2d082f6222de,274fb507-6d75-46b0-87f5-8d873644c52c,Size,M,0.00,6,W-BLZ-LN-004-M,2025-10-11 11:53:54.125052+00
0871a14c-0b01-4a61-b4e2-e7d31ead3d8f,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,Size,XS,0.00,5,W-DNM-HR-003-XS,2025-10-11 11:53:52.39279+00
099b467f-504a-4886-97ec-e1ea89aeba41,783a36aa-334d-4e88-88cf-65b04f6a0fc3,Size,M,0.00,13,M-PNT-TC-012-M,2025-10-11 11:54:07.008472+00
09edce58-18d8-457d-8769-c9ef1763fbfd,a72d121a-7487-438d-b961-cbbf19626135,Size,XS,0.00,1,W-JKT-LTH-007-XS,2025-10-11 11:53:58.078418+00
0b0e0353-5106-4d51-8a50-6f4b5136b34f,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Size,XS,0.00,4,M-SWT-MR-011-XS,2025-10-11 11:54:05.377284+00
0b24fd16-13c7-4eb4-be3c-4e75482f1ca3,58bce0b5-fe59-44c4-a5e4-0242444215bf,Size,M,0.00,14,W-TEE-OC-008-M,2025-10-11 11:53:59.701437+00
0c8977dd-8e3b-4c3d-9d12-7c368143651f,8b635074-268f-466c-949e-aaaf0b143834,Size,XL,15.00,2,W-SWT-CS-005-XL,2025-10-11 11:53:55.748927+00
194550ab-8258-4b39-90e8-0b4c2e5286c1,60a51ad1-ba52-43e5-9218-54e27ca857e0,Size,XS,0.00,1,W-CT-WL-002-XS,2025-10-11 11:53:50.983821+00
19e09e7b-c6b5-4623-aae7-03fac4bfe175,80bf27c4-ceeb-45bb-b9d0-3696000167be,Size,M,0.00,7,W-DRS-SS-001-M,2025-10-11 11:53:49.824243+00
1e9df4f6-1130-472b-b946-bfb2d57a399e,783a36aa-334d-4e88-88cf-65b04f6a0fc3,Size,XL,15.00,4,M-PNT-TC-012-XL,2025-10-11 11:54:07.208701+00
1f691839-9a4a-46ed-9d11-ec5bc365f1c1,4f37e0ee-e916-47ea-affc-4d01665bb2db,Size,XS,0.00,1,M-BLZ-NV-016-XS,2025-10-11 11:54:12.058213+00
20cda505-cc52-4093-a493-055054d415f3,4f37e0ee-e916-47ea-affc-4d01665bb2db,Size,M,0.00,4,M-BLZ-NV-016-M,2025-10-11 11:54:12.23111+00
217876d9-7841-433c-a921-dcabf78eeb26,45e64d53-de11-4614-8e1b-3b16aac95357,Size,L,10.00,6,W-SKT-PL-006-L,2025-10-11 11:53:57.090026+00
2638be0c-26e9-455c-b062-e4483bba2a03,58bce0b5-fe59-44c4-a5e4-0242444215bf,Size,S,0.00,12,W-TEE-OC-008-S,2025-10-11 11:53:59.60472+00
26a91dc2-d3e4-47aa-aebb-c7b0ee27c9f2,100a25a8-1074-4082-bf3e-619e6bf0ed06,Size,XS,0.00,5,M-SRT-OX-009-XS,2025-10-11 11:54:01.233385+00
28cc1e7c-af66-42b5-a860-2edf48220089,45e64d53-de11-4614-8e1b-3b16aac95357,Size,XL,15.00,2,W-SKT-PL-006-XL,2025-10-11 11:53:57.184721+00
2b6ff90a-7c59-484b-9a3f-732bf1043313,a31954ad-5c6c-4a28-9cb0-2c6c3dfe99cd,Style,Variant,0.00,36,A-WLT-LTH-024-STD,2025-10-11 11:54:19.452697+00
2e7fd752-75fe-41d9-8ade-d6b65add9643,4b118e6e-16fe-4b89-b29c-17edd6303d62,Size,L,10.00,11,M-TEE-PM-014-L,2025-10-11 11:54:09.779423+00
